date,platform,forecast_revenue,lower_95,upper_95
2026-01-01,Google,1234.2,600.66,1867.73
2026-01-02,Google,1226.75,593.21,1860.28
2026-01-03,Google,1220.65,587.12,1854.19
2026-01-04,Google,1275.76,642.22,1909.29
2026-01-05,Google,1301.44,667.9,1934.97
2026-01-06,Google,1314.1,680.56,1947.63
2026-01-07,Google,1304.84,671.3,1938.37
2026-01-08,Google,1231.91,598.38,1865.45
2026-01-09,Google,1224.47,590.93,1858.0
2026-01-10,Google,1218.37,584.84,1851.91
2026-01-11,Google,1273.48,639.94,1907.01
2026-01-12,Google,1299.16,665.62,1932.69
2026-01-13,Google,1311.82,678.28,1945.35
2026-01-14,Google,1302.56,669.02,1936.09
2026-01-15,Google,1229.63,596.1,1863.17
2026-01-16,Google,1222.18,588.65,1855.72
2026-01-17,Google,1216.09,582.56,1849.63
2026-01-18,Google,1271.19,637.66,1904.73
2026-01-19,Google,1296.88,663.34,1930.41
2026-01-20,Google,1309.54,676.0,1943.07
2026-01-21,Google,1300.27,666.74,1933.81
2026-01-22,Google,1227.35,593.82,1860.89
2026-01-23,Google,1219.9,586.37,1853.44
2026-01-24,Google,1213.81,580.28,1847.35
2026-01-25,Google,1268.91,635.38,1902.45
2026-01-26,Google,1294.6,661.06,1928.13
2026-01-27,Google,1307.26,673.72,1940.79
2026-01-28,Google,1297.99,664.46,1931.53
2026-01-29,Google,1225.07,591.54,1858.61
2026-01-30,Google,1217.62,584.09,1851.16
2026-01-01,Meta,1523.69,802.99,2244.38
2026-01-02,Meta,1583.76,863.07,2304.46
2026-01-03,Meta,1513.38,792.68,2234.07
2026-01-04,Meta,1547.29,826.6,2267.99
2026-01-05,Meta,1590.74,870.05,2311.44
2026-01-06,Meta,1514.6,793.91,2235.3
2026-01-07,Meta,1485.79,765.1,2206.49
2026-01-08,Meta,1522.36,801.66,2243.05
2026-01-09,Meta,1582.43,861.74,2303.13
2026-01-10,Meta,1512.05,791.35,2232.74
2026-01-11,Meta,1545.96,825.26,2266.65
2026-01-12,Meta,1589.41,868.71,2310.1
2026-01-13,Meta,1513.27,792.58,2233.97
2026-01-14,Meta,1484.46,763.77,2205.16
2026-01-15,Meta,1521.03,800.33,2241.72
2026-01-16,Meta,1581.1,860.4,2301.79
2026-01-17,Meta,1510.72,790.02,2231.41
2026-01-18,Meta,1544.63,823.93,2265.32
2026-01-19,Meta,1588.08,867.38,2308.77
2026-01-20,Meta,1511.94,791.24,2232.63
2026-01-21,Meta,1483.13,762.43,2203.82
2026-01-22,Meta,1519.69,799.0,2240.39
2026-01-23,Meta,1579.77,859.07,2300.46
2026-01-24,Meta,1509.38,788.69,2230.08
2026-01-25,Meta,1543.3,822.6,2263.99
2026-01-26,Meta,1586.74,866.05,2307.44
2026-01-27,Meta,1510.61,789.91,2231.3
2026-01-28,Meta,1481.8,761.1,2202.49
2026-01-29,Meta,1518.36,797.67,2239.06
2026-01-30,Meta,1578.44,857.74,2299.13
